id,label,title,year,venue,status,tags,doi,paper_url,preprint_url,code_url,added_at,updated_at,code_status,tag_review_basis
vcdesign,VCDesign,VCDesign: Candidate-Conditioned Inverse Modeling for Cellular Intervention Design,2026,ICLR 2027 submission,preprint,Intervention Design|Perturbation|Virtual Cell,,,https://github.com/Boom5426/VCDesign-CED/blob/main/paper/VCDesign.pdf,https://github.com/Boom5426/VCDesign-CED,2026-09-26,2026-09-26,repository_linked,project_documentation
nudge-cell-fate,NUDGE,Uncovering minimal control of cell fate by natural dynamics,2026,PNAS,published,Intervention Design|Gene Regulation|Dynamics|Related,10.1073/pnas.2604777123,https://doi.org/10.1073/pnas.2604777123,,,2026-09-26,2026-09-26,not_found,abstract
speciesformer,Speciesformer,Speciesformer learns conserved cellular states for cross-species generative virtual cell modeling,2026,bioRxiv,preprint,Virtual Cell|Foundation Model|Multimodal|Perturbation|Representation Learning,10.64898/2026.09.22.752128,,https://doi.org/10.64898/2026.09.22.752128,,2026-09-25,2026-09-26,not_found,abstract
deepscenic,DeepSCENIC,DeepSCENIC: transfer learning from sequence-to-function models enables causal gene regulatory network inference,2026,bioRxiv,preprint,Gene Regulation|Multimodal|Perturbation,10.64898/2026.09.18.752607,,https://doi.org/10.64898/2026.09.18.752607,https://github.com/aertslab/deepSCENIC,2026-09-25,2026-09-26,project_match,abstract
sckite,scKITE,Towards a knowledge-enhanced single-cell foundation model,2026,arXiv,preprint,Foundation Model|Representation Learning,,,https://arxiv.org/abs/2609.14970,,2026-09-25,2026-09-26,not_found,abstract
pharos,PHAROS,PHAROS: turning single-cell perturbation models into target-directed drug-combination screens,2026,bioRxiv,preprint,Perturbation|Intervention Design|Virtual Cell,10.64898/2026.09.08.749477,,https://doi.org/10.64898/2026.09.08.749477,https://github.com/jbezney61/PHAROS,2026-09-25,2026-09-26,project_match,abstract
proteintalks,ProteinTalks,An operational perturbation proteomics-based virtual cell model,2026,Nature,published,Virtual Cell|Foundation Model|Perturbation|Protein|Dynamics|Intervention Design,10.1038/s41586-026-11001-9,https://doi.org/10.1038/s41586-026-11001-9,https://doi.org/10.1101/2025.02.07.637070,https://github.com/guomics-lab/PTV-1/tree/main/ProteinTalks,,2026-09-26,project_match,abstract
virtual-cell-challenge-2026,Virtual Cell Challenge 2026,Virtual Cell Challenge 2026: Benchmarking zero-shot generalization across cellular contexts,2026,Cell,published,Benchmark|Perturbation,10.1016/j.cell.2026.08.004,https://doi.org/10.1016/j.cell.2026.08.004,,,2026-09-25,2026-09-26,not_found,abstract
lucacell,LucaCell,LucaCell: a sequence-centric foundation model for cross-species single-cell analysis,2026,bioRxiv,preprint,Foundation Model|Representation Learning|Multimodal,10.64898/2026.09.08.750024,,https://doi.org/10.64898/2026.09.08.750024,https://github.com/LucaOne/LucaCell,2026-09-25,2026-09-26,project_match,abstract
annflux,AnnFlux,AnnFlux: object-conditioned neural stochastic differential equations for single-cell perturbation dynamics,2026,bioRxiv,preprint,Perturbation|Dynamics,10.64898/2026.09.01.748703,,https://doi.org/10.64898/2026.09.01.748703,,2026-09-25,2026-09-26,not_found,abstract
screp,scRep,scRep: A Latent-Space Self-Distilled Foundation Model for Single-Cell Representation Learning,2026,bioRxiv,preprint,Foundation Model|Representation Learning,10.64898/2026.08.31.747784,,https://doi.org/10.64898/2026.08.31.747784,,2026-09-25,2026-09-26,not_found,abstract
cell-o1,Cell-o1,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning,2026,Bioinformatics,published,Agent|Benchmark,10.1093/bioinformatics/btag208,https://doi.org/10.1093/bioinformatics/btag208,https://arxiv.org/abs/2506.02911,https://github.com/ncbi-nlp/cell-o1,,2026-09-26,repository_linked,abstract
regvelo,RegVelo,RegVelo: Gene-Regulatory-Informed Dynamics of Single Cells,2026,Cell,published,Dynamics|Gene Regulation|Perturbation|Multimodal,10.1016/j.cell.2026.04.022,https://doi.org/10.1016/j.cell.2026.04.022,https://doi.org/10.1101/2024.12.11.627935,https://github.com/theislab/regvelo,,2026-09-26,repository_linked,abstract
transcriptformer,TranscriptFormer,TranscriptFormer: A Generative Cell Atlas across 1.5 Billion Years of Evolution,2026,Science,published,Foundation Model|Representation Learning,10.1126/science.aec8514,https://doi.org/10.1126/science.aec8514,https://doi.org/10.1101/2025.04.25.650731,https://github.com/czi-ai/transcriptformer,,2026-09-26,repository_linked,abstract
cellatria,CellAtria,An Agentic AI Framework for Ingestion and Standardization of Single-Cell RNA-Seq Data Analysis,2026,npj Artificial Intelligence,published,Agent|Tool,10.1038/s44387-025-00064-0,https://doi.org/10.1038/s44387-025-00064-0,https://doi.org/10.1101/2025.07.31.667880,https://github.com/AstraZeneca/cellatria,,2026-09-26,repository_linked,abstract
